bjp,myogiadityanath
bjp,asim_arun
bjp,kpmaurya1
bjp,brajeshpathakup
bjp,AditiSinghRBL
bjp,ptshrikant
bjp,babyranimaurya
bjp,BJPVinodSonkar
bjp,smritiirani
bjp,AnilRajbharbjp
bjp,shaziailmi
bjp,sharadskn
sp,umarpathed
sp,mashumalik
sp,yadavakhilesh
sp,SwamiPMaurya
sp,shivpalsinghyad
sp,AbdullahAzamMLA
sp,DrDharamSaini
sp,DaraSinghSP
sp,VinayHSTiwari
sp,profamishra
sp,yadavteju
sp,Santoshpandemla
inc,drchetnapandey
inc,AjayLalluINC
inc,anugrahNsingh
inc,INCAshaSingh
inc,tanujpuniaINC
inc,aradhanam7000
inc,DeepakK64492574
inc,SupriyaShrinate
inc,priyankagandhi
inc,MLA_Virendra
inc,omwatihenrita
inc,SanjayKapoorINC
bsp,Mayawati
bsp,amanmani_786
bsp,kartarfbd
bsp,manveerbhatiBSP
bsp,NarendrBhatiBSP
bsp,OmvirsinghG
bsp,MohdBilalbsp
bsp,Sbagheletmadpur
bsp,ravibhardwajbsp
bsp,IBrajpalBSP
bsp,shu_ch
bsp,aftab_bsp
other,BhimArmyChief
other,UrsIncredibly
other,Sanjeevmishraap
other,SushantDubeyAAP
other,VijayS_vastv77
other,Premsinghjata11
other,MonikaThaparAAP
other,Nikeshkannauji5
other,RakeshVaap
other,aapdharm
other,drsanjay0007
other,Nirmal_AAP